dataset,config,seed,MASE,cal_MASE
ETTh1,F,42,2.404514807569002,2.0748294398389184
ETTh1,F+S,42,2.418188847526883,2.0645112405398613
ETTh1,F+S+St,42,2.418188847526883,2.0645112405398613
ETTh1,F+S+St+D,42,2.2230993169835034,2.3708633180286007
ETTh1,F+S+St+D+Obs,42,2.2330173881525366,2.351094507781422
ETTh1,Complete,42,2.1309673806272618,5.213254835405939
ETTh1,F,123,2.2550063771471356,2.0238027737423923
ETTh1,F+S,123,2.239281652599245,2.061027771551634
ETTh1,F+S+St,123,2.2552052981915383,2.050310195941611
ETTh1,F+S+St+D,123,2.182500214639734,2.2374991277935736
ETTh1,F+S+St+D+Obs,123,2.197846023978682,2.196080970833769
ETTh1,Complete,123,2.1342264931615205,4.449339132433543
ETTh1,F,2024,2.2151216507278586,2.372970269720469
ETTh1,F+S,2024,2.1956262003658416,2.38954228659033
ETTh1,F+S+St,2024,2.1956262003658416,2.38954228659033
ETTh1,F+S+St+D,2024,2.2256737301024994,2.5824758770237843
ETTh1,F+S+St+D+Obs,2024,2.2275700255661897,2.602167989686845
ETTh1,Complete,2024,2.3038046852276004,5.44106497936255
ETTm2,F,42,10.3166677842718,8.316455033686802
ETTm2,F+S,42,10.120719997037062,8.239275524266068
ETTm2,F+S+St,42,10.120719997037062,8.239275524266068
ETTm2,F+S+St+D,42,10.724084815096408,8.758037379369942
ETTm2,F+S+St+D+Obs,42,10.630109231465575,8.590637712996802
ETTm2,Complete,42,28.479874514804226,22.359851231527827
ETTm2,F,123,8.673927647415987,8.514412033772928
ETTm2,F+S,123,8.455391341762045,8.335122414708533
ETTm2,F+S+St,123,8.455391341762045,8.335122414708533
ETTm2,F+S+St+D,123,9.198084901035843,8.025777688695342
ETTm2,F+S+St+D+Obs,123,9.788785788732971,8.451921801146593
ETTm2,Complete,123,33.285927283016285,23.7720352825594
ETTm2,F,2024,8.80995429014845,8.49733601857195
ETTm2,F+S,2024,8.34106819479062,8.419458601543226
ETTm2,F+S+St,2024,8.34106819479062,8.419458601543226
ETTm2,F+S+St+D,2024,10.933540579446161,8.942798020564966
ETTm2,F+S+St+D+Obs,2024,11.742978517527536,9.19870607956052
ETTm2,Complete,2024,34.759375725388004,22.500724031754405
Energy,F,42,1.8204972004011222,1.5098090956655583
Energy,F+S,42,1.8056654407264252,1.522518101118082
Energy,F+S+St,42,1.8056654407264252,1.522518101118082
Energy,F+S+St+D,42,1.885084285894562,1.591238621556689
Energy,F+S+St+D+Obs,42,1.8916810542178655,1.5888159459598725
Energy,Complete,42,2.971037088780968,2.337391600007439
Energy,F,123,1.7940815264271246,1.554926980315066
Energy,F+S,123,1.7950274320877937,1.5504808535775305
Energy,F+S+St,123,1.7950274320877937,1.5504808535775305
Energy,F+S+St+D,123,1.8804439163968363,1.6049811486059038
Energy,F+S+St+D+Obs,123,1.8699360235353475,1.624358084904075
Energy,Complete,123,2.9027785477814265,2.537018535594362
Energy,F,2024,1.7922332602398732,1.527933220627503
Energy,F+S,2024,1.7961797565911055,1.5242838127077158
Energy,F+S+St,2024,1.7961797565911055,1.5242838127077158
