teacher,dataset,r_global,regime,CeNN_NS,CeNN_Emulator,CeNN_Adaptive,gain_vs_Emulator,gain_vs_NS
QELM,ETTh1,0.10272120108456376,unreliable teacher,2.239246244866806,4.012487894071375,2.262880311385635,1.7496075826857402,-0.023634066518829044
QELM,ETTm2,0.2903090086365864,unreliable teacher,8.981184959474424,45.74772334000759,32.18973104471886,13.557992295288727,-23.208546085244436
QELM,Energy,0.7509630009245951,intermediate,1.8045680702122944,3.0315992159189418,2.8913941948063893,0.1402050211125525,-1.0868261245940949
QELM,ExchangeRate,0.08491308623745118,unreliable teacher,17.4404742252948,63.44327140322266,20.79476378880702,42.648507614415635,-3.3542895635122214
QELM,Jena,0.43599700637968397,unreliable teacher,8.435553356906327,17.455467894718186,14.543634826639618,2.9118330680785682,-6.108081469733291
QELM,AAPL,1.0,reliable teacher,0.6010081233562052,0.599636318039282,0.5996363179737045,6.557743237323166e-11,0.0013718053825007015
VQC,ETTh1,0.12867969214654848,unreliable teacher,2.239246244866806,3.521237343213059,2.3167934610894623,1.2044438821235968,-0.07754721622265626
VQC,ETTm2,0.4704461611712222,unreliable teacher,8.981184959474424,30.146657593496524,26.253773603665774,3.89288398983075,-17.27258864419135
VQC,Energy,0.8169188004068421,intermediate,1.8045680702122944,2.9392609575625475,2.8424500020163497,0.09681095554619779,-1.0378819318040553
VQC,ExchangeRate,0.09426954588221632,unreliable teacher,17.4404742252948,62.23813262306135,20.184892664964053,42.05323995809729,-2.7444184396692535
VQC,Jena,0.5214121083710369,intermediate,8.435553356906327,14.95055691256689,13.722284097378974,1.2282728151879159,-5.286730740472647
VQC,AAPL,1.0,reliable teacher,0.6010081233562052,0.6002717491020427,0.6002717490991343,2.9084512576105226e-12,0.0007363742570709597
QRC,ETTh1,0.2413955530896791,unreliable teacher,2.239246244866806,2.410571446958391,2.1117371680965418,0.29883427886184943,0.12750907677026424
QRC,ETTm2,0.6688277912244294,intermediate,8.981184959474424,20.830478837542614,19.307317566770614,1.5231612707720004,-10.32613260729619
QRC,Energy,0.9680915645832815,reliable teacher,1.8045680702122944,2.624143912037205,2.610073214684559,0.0140706973526461,-0.8055051444722645
QRC,ExchangeRate,0.06020227792012149,unreliable teacher,17.4404742252948,77.79896426824311,19.10917679391312,58.68978747432999,-1.668702568618322
QRC,Jena,0.49755708459974246,unreliable teacher,8.435553356906327,15.043527817274168,13.225791674935161,1.8177361423390064,-4.790238318028834
QRC,AAPL,1.0,reliable teacher,0.6010081233562052,0.6115068511170769,0.611506851010984,1.0609291223317996e-10,-0.010498727654778772
QKRR,ETTh1,0.22350548090849873,unreliable teacher,2.239246244866806,2.7832071315722025,2.214790231261688,0.5684169003105146,0.024456013605118176
QKRR,ETTm2,0.5265647176181474,intermediate,8.981184959474424,23.921412563659146,22.40704335750396,1.5143692061551874,-13.425858398029535
QKRR,Energy,0.8274626519053809,intermediate,1.8045680702122944,2.924644036964603,2.834337893365354,0.09030614359924938,-1.0297698231530594
QKRR,ExchangeRate,0.06427766252871192,unreliable teacher,17.4404742252948,77.94684636344216,18.24780495316968,59.699041410272486,-0.8073307278748807
QKRR,Jena,0.5861885228766146,intermediate,8.435553356906327,13.220741487843657,12.21367801945247,1.0070634683911877,-3.7781246625461424
QKRR,AAPL,1.0,reliable teacher,0.6010081233562052,0.6363412834489725,0.6363412830794821,3.6949032722333186e-10,-0.035333159723276886
