model,MASE_mean,ci_low,ci_high
Persistence,5.349053884225245,2.545133358829719,8.413646022510251
MovingAverage,6.558853178925257,2.608858447448327,10.92056410019292
MLP,3.8267858122861966,1.9091448202280477,5.895548805269471
LSTM,4.7875117003527095,2.2708456477140597,7.113752627996826
Transformer,6.587141644386366,2.3653010510205608,12.190367582705752
N-HiTS,4.0225617711996104,1.924185158875822,6.294639742546393
N-BEATS,4.050233917611666,1.9137889341210055,6.349972635805494
DLinear,3.6190487536882237,1.7870345514935275,5.56056635324772
NLinear,3.6075346992428075,1.8015394114640728,5.5378251137747325
PatchTST,6.798717310810216,2.4547704791381357,12.376895440164946
TiDE,3.8618747155370428,1.9064331665851222,5.957329709534922
TimesNet,4.09786309755622,2.0609827244777446,6.19985112798076
iTransformer,6.852851406294845,2.3676683002580217,12.841660925490103
QELM,21.731710574225378,6.743444090713866,39.046786024112116
VQC,17.584764387830855,6.082142374366728,29.66579997236585
QRC,15.983336933112435,5.427858193130131,29.222925623846034
QKRR,16.607583771448308,5.307407633523023,28.352274291953915
CeNN_NS,6.583672496685143,2.4708749681540505,11.72319485260356
CeNN_Emu[QELM],22.38169767766301,4.788404476117668,42.76076744338545
CeNN_Emu[VQC],19.066019529833735,4.258476611518188,38.59786899913684
CeNN_Emu[QRC],19.886532188862095,3.9519713875770512,44.35134872521915
CeNN_Emu[QKRR],20.23886547782179,3.830747059141768,43.93520662131914
CeNN_Ada[QELM],12.213673414055206,3.860010380027448,22.084538011262822
CeNN_Ada[VQC],10.986744263035625,3.733144086628753,18.97654869407209
CeNN_Ada[QRC],9.495933878235162,3.547058821305795,15.477832397307447
CeNN_Ada[QKRR],9.758999289638773,3.4583798235833605,16.649567212732617
