dataset,seed,rho,form,r,MASE
ETTh1,42,12.246500771312338,hyperbolic(paper),0.08165597819930075,1.8842923986041322
ETTh1,42,12.246500771312338,sigmoid(k=5),0.05,1.880174215849228
ETTh1,42,12.246500771312338,linear,0.05,1.880174215849228
ETTh1,42,12.246500771312338,hard-threshold,0.05,1.880174215849228
ETTh1,123,13.291341522649784,hyperbolic(paper),0.07523695018263576,1.8811676379817146
ETTh1,123,13.291341522649784,sigmoid(k=5),0.05,1.879315826352308
ETTh1,123,13.291341522649784,linear,0.05,1.879315826352308
ETTh1,123,13.291341522649784,hard-threshold,0.05,1.879315826352308
ETTh1,2024,12.058794757899012,hyperbolic(paper),0.08292702712640154,1.8759907872770751
ETTh1,2024,12.058794757899012,sigmoid(k=5),0.05,1.8792323881228727
ETTh1,2024,12.058794757899012,linear,0.05,1.8792323881228727
ETTh1,2024,12.058794757899012,hard-threshold,0.05,1.8792323881228727
ETTm2,42,3.1760710117865414,hyperbolic(paper),0.31485442116657825,7.62871954445556
ETTm2,42,3.1760710117865414,sigmoid(k=5),0.05,5.804955670480036
ETTm2,42,3.1760710117865414,linear,0.05,5.804955670480036
ETTm2,42,3.1760710117865414,hard-threshold,0.05,5.804955670480036
ETTm2,123,3.4590261397579862,hyperbolic(paper),0.28909871148587674,7.173927661475348
ETTm2,123,3.4590261397579862,sigmoid(k=5),0.05,5.785990744420266
ETTm2,123,3.4590261397579862,linear,0.05,5.785990744420266
ETTm2,123,3.4590261397579862,hard-threshold,0.05,5.785990744420266
ETTm2,2024,3.7121374509944234,hyperbolic(paper),0.26938657665602217,7.397397580472258
ETTm2,2024,3.7121374509944234,sigmoid(k=5),0.05,5.927934883738816
ETTm2,2024,3.7121374509944234,linear,0.05,5.927934883738816
ETTm2,2024,3.7121374509944234,hard-threshold,0.05,5.927934883738816
Energy,42,1.2934049011399997,hyperbolic(paper),0.7731530931409072,1.960634077331576
Energy,42,1.2934049011399997,sigmoid(k=5),0.18739529578087047,1.788976718847015
Energy,42,1.2934049011399997,linear,0.7065950988600003,1.9413623007718401
Energy,42,1.2934049011399997,hard-threshold,0.05,1.7738969982118287
Energy,123,1.2959529664998282,hyperbolic(paper),0.7716329418195229,1.959831255677893
Energy,123,1.2959529664998282,sigmoid(k=5),0.18546294258224363,1.7916302730969291
Energy,123,1.2959529664998282,linear,0.7040470335001718,1.9148818498464255
Energy,123,1.2959529664998282,hard-threshold,0.05,1.7796210795990879
Energy,2024,1.332882897649025,hyperbolic(paper),0.750253455696541,1.9215169818099058
Energy,2024,1.332882897649025,sigmoid(k=5),0.15917029410829917,1.7889973224697913
Energy,2024,1.332882897649025,linear,0.667117102350975,1.8992143190170072
Energy,2024,1.332882897649025,hard-threshold,0.05,1.7783934272325304
ExchangeRate,42,20.077999405654907,hyperbolic(paper),0.05,3.95002637408105
ExchangeRate,42,20.077999405654907,sigmoid(k=5),0.05,3.95002637408105
ExchangeRate,42,20.077999405654907,linear,0.05,3.95002637408105
ExchangeRate,42,20.077999405654907,hard-threshold,0.05,3.95002637408105
ExchangeRate,123,5.994978622749038,hyperbolic(paper),0.1668062661984011,4.088683991857773
ExchangeRate,123,5.994978622749038,sigmoid(k=5),0.05,4.1627962020617515
ExchangeRate,123,5.994978622749038,linear,0.05,4.1627962020617515
ExchangeRate,123,5.994978622749038,hard-threshold,0.05,4.1627962020617515
ExchangeRate,2024,12.714294958132223,hyperbolic(paper),0.0786516282100556,3.924115382275822
ExchangeRate,2024,12.714294958132223,sigmoid(k=5),0.05,3.9296072191764644
ExchangeRate,2024,12.714294958132223,linear,0.05,3.9296072191764644
ExchangeRate,2024,12.714294958132223,hard-threshold,0.05,3.9296072191764644
Jena,42,2.1180941435444325,hyperbolic(paper),0.47212254613319193,8.260044776950167
Jena,42,2.1180941435444325,sigmoid(k=5),0.05,7.670159990621614
Jena,42,2.1180941435444325,linear,0.05,7.670159990621614
Jena,42,2.1180941435444325,hard-threshold,0.05,7.670159990621614
Jena,123,2.5704271047353426,hyperbolic(paper),0.3890404042805806,8.258035578192056
Jena,123,2.5704271047353426,sigmoid(k=5),0.05,7.6679280667374625
Jena,123,2.5704271047353426,linear,0.05,7.6679280667374625
Jena,123,2.5704271047353426,hard-threshold,0.05,7.6679280667374625
Jena,2024,2.3350448149796836,hyperbolic(paper),0.42825730520666716,8.061793373300572
Jena,2024,2.3350448149796836,sigmoid(k=5),0.05,7.749872074331451
Jena,2024,2.3350448149796836,linear,0.05,7.749872074331451
Jena,2024,2.3350448149796836,hard-threshold,0.05,7.749872074331451
AAPL,42,0.6956507931713748,hyperbolic(paper),1.0,0.6073383691476644
AAPL,42,0.6956507931713748,sigmoid(k=5),0.8207954491112509,0.6081329780554405
AAPL,42,0.6956507931713748,linear,1.0,0.6073383691476644
AAPL,42,0.6956507931713748,hard-threshold,1.0,0.6073383691476644
AAPL,123,0.6948783695342048,hyperbolic(paper),1.0,0.6073529864224543
AAPL,123,0.6948783695342048,sigmoid(k=5),0.8213628254997544,0.6081195189316583
AAPL,123,0.6948783695342048,linear,1.0,0.6073529864224543
AAPL,123,0.6948783695342048,hard-threshold,1.0,0.6073529864224543
AAPL,2024,0.6948932226397871,hyperbolic(paper),1.0,0.6073825011406527
AAPL,2024,0.6948932226397871,sigmoid(k=5),0.8213519285607155,0.6081573151110251
AAPL,2024,0.6948932226397871,linear,1.0,0.6073825011406527
AAPL,2024,0.6948932226397871,hard-threshold,1.0,0.6073825011406527
