dataset,origin,scheme,train_end,cal_start,cal_end,test_start,test_end,n_train_windows,n_cal_windows,n_test_windows
ETTh1,0,expanding,14285,14285,16027,16027,17420,14166,1742,1393
ETTh1,1,expanding,12892,12892,14634,14634,16027,12773,1742,1393
ETTh1,2,expanding,11499,11499,13241,13241,14634,11380,1742,1393
ETTh1,3,expanding,10106,10106,11848,11848,13241,9987,1742,1393
ETTh1,4,expanding,8713,8713,10455,10455,11848,8594,1742,1393
ETTm2,0,expanding,16400,16400,18400,18400,20000,16281,2000,1600
ETTm2,1,expanding,14800,14800,16800,16800,18400,14681,2000,1600
ETTm2,2,expanding,13200,13200,15200,15200,16800,13081,2000,1600
ETTm2,3,expanding,11600,11600,13600,13600,15200,11481,2000,1600
ETTm2,4,expanding,10000,10000,12000,12000,13600,9881,2000,1600
Energy,0,expanding,16400,16400,18400,18400,20000,16281,2000,1600
Energy,1,expanding,14800,14800,16800,16800,18400,14681,2000,1600
Energy,2,expanding,13200,13200,15200,15200,16800,13081,2000,1600
Energy,3,expanding,11600,11600,13600,13600,15200,11481,2000,1600
Energy,4,expanding,10000,10000,12000,12000,13600,9881,2000,1600
ExchangeRate,0,expanding,6223,6223,6981,6981,7588,6104,758,607
ExchangeRate,1,expanding,5616,5616,6374,6374,6981,5497,758,607
ExchangeRate,2,expanding,5009,5009,5767,5767,6374,4890,758,607
ExchangeRate,3,expanding,4402,4402,5160,5160,5767,4283,758,607
ExchangeRate,4,expanding,3795,3795,4553,4553,5160,3676,758,607
Jena,0,expanding,16400,16400,18400,18400,20000,16281,2000,1600
Jena,1,expanding,14800,14800,16800,16800,18400,14681,2000,1600
Jena,2,expanding,13200,13200,15200,15200,16800,13081,2000,1600
Jena,3,expanding,11600,11600,13600,13600,15200,11481,2000,1600
Jena,4,expanding,10000,10000,12000,12000,13600,9881,2000,1600
AAPL,0,expanding,4986,4986,5594,5594,6080,4867,608,486
AAPL,1,expanding,4500,4500,5108,5108,5594,4381,608,486
AAPL,2,expanding,4014,4014,4622,4622,5108,3895,608,486
AAPL,3,expanding,3528,3528,4136,4136,4622,3409,608,486
AAPL,4,expanding,3042,3042,3650,3650,4136,2923,608,486
