family,teacher,dataset,comparison,n_windows,p_value,cliffs_delta,effect,mean_diff,median_diff,p_holm,significant
F1_negative_transfer,QELM,ETTh1,Ada[QELM] vs Emu[QELM],2613,0.0,-0.5595786666666667,large,-1.210429072380066,-0.9139729142189026,0.0,True
F1_negative_transfer,QELM,ETTm2,Ada[QELM] vs Emu[QELM],3000,0.0,-0.488928,large,-3.051438093185425,-3.077124834060669,0.0,True
F1_negative_transfer,QELM,Energy,Ada[QELM] vs Emu[QELM],3000,2.9318432856716355e-275,-0.08988977777777778,negligible,-152.3151397705078,-144.7850341796875,5.277317914208944e-274,True
F1_negative_transfer,QELM,ExchangeRate,Ada[QELM] vs Emu[QELM],1139,3.5899662316646787e-188,-0.8542612044359106,large,-0.06105143204331398,-0.06290379166603088,5.384949347497019e-187,True
F1_negative_transfer,QELM,Jena,Ada[QELM] vs Emu[QELM],3000,0.0,-0.19495466666666666,small,-0.5819090008735657,-0.48914867639541626,0.0,True
F1_negative_transfer,QELM,AAPL,Ada[QELM] vs Emu[QELM],912,0.2871597629799817,-3.6068790397045243e-06,negligible,-1.02118704117804e-11,0.0,0.8614792889399451,False
F1_negative_transfer,VQC,ETTh1,Ada[VQC] vs Emu[VQC],2613,1.0100891645328757e-264,-0.4333702222222222,medium,-0.8332691192626953,-0.5953275561332703,1.717151579705889e-263,True
F1_negative_transfer,VQC,ETTm2,Ada[VQC] vs Emu[VQC],3000,0.0,-0.15044266666666667,small,-0.8761544823646545,-0.861536979675293,0.0,True
F1_negative_transfer,VQC,Energy,Ada[VQC] vs Emu[VQC],3000,9.350235071029243e-144,-0.06767644444444444,negligible,-105.17293548583984,-97.94873046875,7.480188056823394e-143,True
F1_negative_transfer,VQC,ExchangeRate,Ada[VQC] vs Emu[VQC],1139,3.5899677886730736e-188,-0.8773456993296185,large,-0.0601993128657341,-0.06218646094202995,5.384949347497019e-187,True
F1_negative_transfer,VQC,Jena,Ada[VQC] vs Emu[VQC],3000,1.4186294325429424e-103,-0.07689066666666666,negligible,-0.24546155333518982,-0.20438575744628906,9.930406027800596e-103,True
F1_negative_transfer,VQC,AAPL,Ada[VQC] vs Emu[VQC],912,0.030740303615122515,-1.4427516158818097e-05,negligible,-3.9826295039624426e-11,0.0,0.12296121446049006,False
F1_negative_transfer,QRC,ETTh1,Ada[QRC] vs Emu[QRC],2613,1.511666373137276e-40,-0.05770488888888889,negligible,-0.20674221217632294,-0.08560371398925781,9.069998238823656e-40,True
F1_negative_transfer,QRC,ETTm2,Ada[QRC] vs Emu[QRC],3000,0.0,-0.03660533333333333,negligible,-0.3428112864494324,-0.3352357745170593,0.0,True
F1_negative_transfer,QRC,Energy,Ada[QRC] vs Emu[QRC],3000,1.0788729968246813e-16,-0.03589422222222222,negligible,-15.286044120788574,-12.16510009765625,5.394364984123407e-16,True
F1_negative_transfer,QRC,ExchangeRate,Ada[QRC] vs Emu[QRC],1139,3.5899662316646787e-188,-0.9971649267991499,large,-0.08401456475257874,-0.0876416340470314,5.384949347497019e-187,True
F1_negative_transfer,QRC,Jena,Ada[QRC] vs Emu[QRC],3000,0.0,-0.11947288888888889,negligible,-0.3632616102695465,-0.28381872177124023,0.0,True
F1_negative_transfer,QRC,AAPL,Ada[QRC] vs Emu[QRC],912,0.3170888792249444,-3.6068790397045243e-06,negligible,-1.736017926634581e-11,0.0,0.8614792889399451,False
