model,AAPL,ETTh1,ETTm2,Energy,ExchangeRate,Jena
Persistence,0.859 +/- 0.0,2.107 +/- 0.0,11.569 +/- 0.0,4.92 +/- 0.0,3.887 +/- 0.0,8.752 +/- 0.0
MovingAverage,0.632 +/- 0.0,2.18 +/- 0.0,15.631 +/- 0.0,4.46 +/- 0.0,4.586 +/- 0.0,11.864 +/- 0.0
MLP,0.598 +/- 0.0,2.02 +/- 0.044,6.088 +/- 0.111,1.795 +/- 0.017,4.649 +/- 0.263,7.811 +/- 0.07
LSTM,0.595 +/- 0.0,1.877 +/- 0.08,8.152 +/- 0.836,1.845 +/- 0.068,8.215 +/- 0.454,8.042 +/- 0.296
Transformer,0.597 +/- 0.0,2.076 +/- 0.03,7.492 +/- 0.14,1.836 +/- 0.042,18.765 +/- 0.213,8.758 +/- 0.177
N-HiTS,0.599 +/- 0.0,2.072 +/- 0.064,6.784 +/- 0.31,1.847 +/- 0.014,4.582 +/- 0.09,8.252 +/- 0.361
N-BEATS,0.603 +/- 0.001,2.002 +/- 0.071,6.442 +/- 0.329,1.824 +/- 0.022,4.627 +/- 0.272,8.804 +/- 0.324
DLinear,0.613 +/- 0.0,1.907 +/- 0.006,5.727 +/- 0.003,1.777 +/- 0.001,4.036 +/- 0.037,7.655 +/- 0.05
NLinear,0.622 +/- 0.001,1.957 +/- 0.001,5.585 +/- 0.003,1.778 +/- 0.001,4.052 +/- 0.005,7.651 +/- 0.008
PatchTST,0.605 +/- 0.001,2.113 +/- 0.123,9.709 +/- 0.328,1.66 +/- 0.009,18.621 +/- 0.958,8.084 +/- 0.264
TiDE,0.625 +/- 0.0,2.043 +/- 0.075,6.238 +/- 0.206,1.793 +/- 0.014,4.558 +/- 0.07,7.913 +/- 0.118
TimesNet,0.596 +/- 0.0,2.043 +/- 0.029,6.34 +/- 0.316,2.195 +/- 0.068,5.553 +/- 0.454,7.86 +/- 0.34
iTransformer,0.603 +/- 0.0,2.197 +/- 0.068,8.735 +/- 0.443,1.656 +/- 0.025,19.893 +/- 0.353,8.033 +/- 0.25
QELM,0.606 +/- 0.001,5.697 +/- 0.376,56.992 +/- 9.203,4.397 +/- 0.105,37.94 +/- 13.679,24.758 +/- 1.755
VQC,0.608 +/- 0.001,5.046 +/- 0.945,38.713 +/- 10.591,4.331 +/- 0.108,35.242 +/- 11.329,21.568 +/- 2.227
QRC,0.644 +/- 0.001,3.084 +/- 0.124,23.874 +/- 2.257,3.677 +/- 0.146,42.315 +/- 1.855,22.305 +/- 1.593
QKRR,0.699 +/- 0.007,3.731 +/- 0.216,34.782 +/- 8.763,4.441 +/- 0.049,37.449 +/- 9.083,18.543 +/- 1.135
CeNN_NS,0.601 +/- 0.001,2.239 +/- 0.11,8.981 +/- 0.71,1.805 +/- 0.009,17.44 +/- 0.667,8.436 +/- 0.227
CeNN_Emu[QELM],0.6 +/- 0.001,4.012 +/- 0.546,45.748 +/- 7.699,3.032 +/- 0.065,63.443 +/- 40.672,17.455 +/- 1.056
CeNN_Emu[VQC],0.6 +/- 0.001,3.521 +/- 0.189,30.147 +/- 8.983,2.939 +/- 0.062,62.238 +/- 44.602,14.951 +/- 0.84
CeNN_Emu[QRC],0.612 +/- 0.002,2.411 +/- 0.096,20.83 +/- 2.425,2.624 +/- 0.097,77.799 +/- 44.656,15.044 +/- 0.898
CeNN_Emu[QKRR],0.636 +/- 0.002,2.783 +/- 0.268,23.921 +/- 5.883,2.925 +/- 0.042,77.947 +/- 44.248,13.221 +/- 0.573
CeNN_Ada[QELM],0.6 +/- 0.001,2.263 +/- 0.132,32.19 +/- 3.058,2.891 +/- 0.069,20.795 +/- 3.05,14.544 +/- 0.327
CeNN_Ada[VQC],0.6 +/- 0.001,2.317 +/- 0.152,26.254 +/- 4.737,2.842 +/- 0.042,20.185 +/- 2.193,13.722 +/- 1.134
CeNN_Ada[QRC],0.612 +/- 0.002,2.112 +/- 0.027,19.307 +/- 1.397,2.61 +/- 0.084,19.109 +/- 0.319,13.226 +/- 0.686
CeNN_Ada[QKRR],0.636 +/- 0.002,2.215 +/- 0.098,22.407 +/- 5.024,2.834 +/- 0.043,18.248 +/- 1.242,12.214 +/- 0.787
