dataset,horizon,teacher,seed,r_global,teacher_val_mase,naive_val_mase,fit_seconds
ETTh1,24,QELM,42,0.08165597819930075,22.42580559248746,1.8312010925619127,1.3
ETTh1,24,VQC,42,0.10703139062084306,17.109009627361683,1.8312010925619127,6.6
ETTh1,24,QRC,42,0.20965815319265926,8.734223137409703,1.8312010925619127,0.8
ETTh1,24,QKRR,42,0.18680580682113326,9.802698983095794,1.8312010925619127,0.2
ETTh1,24,QELM,123,0.07523695018263576,24.3391191178898,1.8312010925619127,0.1
ETTh1,24,VQC,123,0.08247486285570922,22.203142013896056,1.8312010925619127,5.1
ETTh1,24,QRC,123,0.2077922865105127,8.812651919441041,1.8312010925619127,0.8
ETTh1,24,QKRR,123,0.25854934618095954,7.082598040221881,1.8312010925619127,0.1
ETTh1,24,QELM,2024,0.08292702712640154,22.082078135644537,1.8312010925619127,0.1
ETTh1,24,VQC,2024,0.09676989622288482,18.923251589980083,1.8312010925619127,6.7
ETTh1,24,QRC,2024,0.31102692065454324,5.887596767213031,1.8312010925619127,0.8
ETTh1,24,QKRR,2024,0.2718674469482857,6.735639419566998,1.8312010925619127,0.1
ETTh1,24,QELM,7,0.1440223604628559,12.7146999026876,1.8312010925619127,0.1
ETTh1,24,VQC,7,0.17884919137927183,10.238799954530544,1.8312010925619127,14.4
ETTh1,24,QRC,7,0.20586081026005,8.895336078045553,1.8312010925619127,0.8
ETTh1,24,QKRR,7,0.21366940778785956,8.570253980298435,1.8312010925619127,0.1
ETTh1,24,QELM,99,0.12976368945162484,14.111814331886533,1.8312010925619127,0.1
ETTh1,24,VQC,99,0.17827311965403347,10.271885610773186,1.8312010925619127,13.4
ETTh1,24,QRC,99,0.2726395948306302,6.716563284579026,1.8312010925619127,0.7
ETTh1,24,QKRR,99,0.18663539680425575,9.811649472272865,1.8312010925619127,0.1
ETTm2,24,QELM,42,0.31485442116657825,37.37864863182887,11.76883277896339,0.1
ETTm2,24,VQC,42,0.5738436562507748,20.508779091251824,11.76883277896339,19.9
ETTm2,24,QRC,42,0.5450495139854293,21.59222690230305,11.76883277896339,0.9
ETTm2,24,QKRR,42,0.6764582385241688,17.397722592069382,11.76883277896339,0.1
ETTm2,24,QELM,123,0.28909871148587674,40.70870021687499,11.76883277896339,0.1
ETTm2,24,VQC,123,0.44576193128937036,26.4016102607101,11.76883277896339,10.4
ETTm2,24,QRC,123,0.6946522672870306,16.94204904120827,11.76883277896339,0.9
ETTm2,24,QKRR,123,0.5229976308660967,22.502650269130125,11.76883277896339,0.1
ETTm2,24,QELM,2024,0.26938657665602217,43.687524913280775,11.76883277896339,0.1
ETTm2,24,VQC,2024,0.4792337043704341,24.55760659493685,11.76883277896339,7.9
ETTm2,24,QRC,2024,0.705837673990271,16.673568460055883,11.76883277896339,0.9
ETTm2,24,QKRR,2024,0.5721171533413558,20.570669329226476,11.76883277896339,0.1
ETTm2,24,QELM,7,0.23784166509171767,49.4817961118168,11.76883277896339,0.1
ETTm2,24,VQC,7,0.32644245263226557,36.051783963959096,11.76883277896339,14.9
ETTm2,24,QRC,7,0.718190847962847,16.386776317667874,11.76883277896339,0.9
ETTm2,24,QKRR,7,0.4254468957712442,27.66228381483196,11.76883277896339,0.1
ETTm2,24,QELM,99,0.3403636687827371,34.57722976442512,11.76883277896339,0.1
ETTm2,24,VQC,99,0.5269490613132659,22.333909751415113,11.76883277896339,19.4
ETTm2,24,QRC,99,0.6804086528965692,17.296712393151182,11.76883277896339,0.9
ETTm2,24,QKRR,99,0.435803669587871,27.00489601221782,11.76883277896339,0.1
Energy,24,QELM,42,0.7731530931409072,3.9457999636847756,3.0507074468381634,0.1
Energy,24,VQC,42,0.8229267739112122,3.707143264204104,3.0507074468381634,12.8
Energy,24,QRC,42,0.9433418988051285,3.23393612719026,3.0507074468381634,0.9
Energy,24,QKRR,42,0.840572626965275,3.629320476271221,3.0507074468381634,0.1
Energy,24,QELM,123,0.7716329418195229,3.953573365653035,3.0507074468381634,0.1
