dataset,origin,seed,model,teacher,student,policy,picked,MASE,MAE,RMSE,cal_MASE,persistence_MASE,diverged
AAPL,0,42,DLinear_ValSelect[QELM],QELM,DLinear,ValSelect,DLinear_NaiveKD[QELM],1.2465759333332571,0.035772281588686,0.0597298647662525,0.9063372113727488,1.7727738299313769,False
AAPL,0,42,DLinear_HardRejectPersist[QELM],QELM,DLinear,HardRejectPersist,DLinear_NaiveKD[QELM],1.2465759333332571,0.035772281588686,0.0597298647662525,0.9063372113727488,1.7727738299313769,False
AAPL,0,42,DLinear_Oracle[QELM],QELM,DLinear,Oracle,DLinear_NaiveKD[QELM],1.2465759333332571,0.035772281588686,0.0597298647662525,0.9063372113727488,1.7727738299313769,False
AAPL,0,42,PatchTST_ValSelect[QELM],QELM,PatchTST,ValSelect,PatchTST_NaiveKD[QELM],1.2381161915824563,0.0355295171842201,0.0594389925554616,0.9022548742956746,1.7727738299313769,False
AAPL,0,42,PatchTST_HardRejectPersist[QELM],QELM,PatchTST,HardRejectPersist,PatchTST_NaiveKD[QELM],1.2381161915824563,0.0355295171842201,0.0594389925554616,0.9022548742956746,1.7727738299313769,False
AAPL,0,42,PatchTST_Oracle[QELM],QELM,PatchTST,Oracle,PatchTST_NaiveKD[QELM],1.2381161915824563,0.0355295171842201,0.0594389925554616,0.9022548742956746,1.7727738299313769,False
AAPL,0,42,N-HiTS_ValSelect[QELM],QELM,N-HiTS,ValSelect,N-HiTS_NaiveKD[QELM],1.2359557585305514,0.0354675204639083,0.0594545991493975,0.896853621570861,1.7727738299313769,False
AAPL,0,42,N-HiTS_HardRejectPersist[QELM],QELM,N-HiTS,HardRejectPersist,N-HiTS_NaiveKD[QELM],1.2359557585305514,0.0354675204639083,0.0594545991493975,0.896853621570861,1.7727738299313769,False
AAPL,0,42,N-HiTS_Oracle[QELM],QELM,N-HiTS,Oracle,N-HiTS_NaiveKD[QELM],1.2359557585305514,0.0354675204639083,0.0594545991493975,0.896853621570861,1.7727738299313769,False
AAPL,0,42,DLinear_ValSelect[QELM-NISQ],QELM-NISQ,DLinear,ValSelect,DLinear_NaiveKD[QELM-NISQ],1.2465855835723687,0.0357725585161171,0.0597304088550476,0.9063180953287452,1.7727738299313769,False
AAPL,0,42,DLinear_HardRejectPersist[QELM-NISQ],QELM-NISQ,DLinear,HardRejectPersist,DLinear_NaiveKD[QELM-NISQ],1.2465855835723687,0.0357725585161171,0.0597304088550476,0.9063180953287452,1.7727738299313769,False
AAPL,0,42,DLinear_Oracle[QELM-NISQ],QELM-NISQ,DLinear,Oracle,DLinear_NaiveKD[QELM-NISQ],1.2465855835723687,0.0357725585161171,0.0597304088550476,0.9063180953287452,1.7727738299313769,False
AAPL,0,42,PatchTST_ValSelect[QELM-NISQ],QELM-NISQ,PatchTST,ValSelect,PatchTST_NaiveKD[QELM-NISQ],1.2381312707754066,0.0355299499032562,0.0594394946805789,0.9022428160320468,1.7727738299313769,False
AAPL,0,42,PatchTST_HardRejectPersist[QELM-NISQ],QELM-NISQ,PatchTST,HardRejectPersist,PatchTST_NaiveKD[QELM-NISQ],1.2381312707754066,0.0355299499032562,0.0594394946805789,0.9022428160320468,1.7727738299313769,False
AAPL,0,42,PatchTST_Oracle[QELM-NISQ],QELM-NISQ,PatchTST,Oracle,PatchTST_NaiveKD[QELM-NISQ],1.2381312707754066,0.0355299499032562,0.0594394946805789,0.9022428160320468,1.7727738299313769,False
AAPL,0,42,N-HiTS_ValSelect[QELM-NISQ],QELM-NISQ,N-HiTS,ValSelect,N-HiTS_NaiveKD[QELM-NISQ],1.2359823183844112,0.0354682826369503,0.059455910811785,0.8968299038039951,1.7727738299313769,False
AAPL,0,42,N-HiTS_HardRejectPersist[QELM-NISQ],QELM-NISQ,N-HiTS,HardRejectPersist,N-HiTS_NaiveKD[QELM-NISQ],1.2359823183844112,0.0354682826369503,0.059455910811785,0.8968299038039951,1.7727738299313769,False
AAPL,0,42,N-HiTS_Oracle[QELM-NISQ],QELM-NISQ,N-HiTS,Oracle,N-HiTS_NaiveKD[QELM-NISQ],1.2359823183844112,0.0354682826369503,0.059455910811785,0.8968299038039951,1.7727738299313769,False
