dataset,origin,student,teacher,policy,MASE,MASE_NS,regret,rel_regret
AAPL,0,DLinear,ClassicalELM,HardRejectPersist,1.248400075193347,1.254785422017706,-0.006385346824358651,-0.005088294128187326
AAPL,0,DLinear,ClassicalELM,HardRejectSR,1.2484000748824393,1.254785422017706,-0.006385347135266469,-0.005088294376180262
AAPL,0,DLinear,ClassicalELM,LegacyPersist,1.2484000748824393,1.254785422017706,-0.006385347135266469,-0.005088294376180262
AAPL,0,DLinear,ClassicalELM,NaiveKD,1.248400075193347,1.254785422017706,-0.006385346824358651,-0.005088294128187326
AAPL,0,DLinear,ClassicalELM,Oracle,1.248400075193347,1.254785422017706,-0.006385346824358651,-0.005088294128187326
AAPL,0,DLinear,ClassicalELM,SoftSR,1.2484000748824393,1.254785422017706,-0.006385347135266469,-0.005088294376180262
AAPL,0,DLinear,ClassicalELM,ValSelect,1.248400075193347,1.254785422017706,-0.006385346824358651,-0.005088294128187326
AAPL,0,DLinear,QELM,HardRejectPersist,1.245981296436992,1.254785422017706,-0.008804125580713714,-0.007015866242449431
AAPL,0,DLinear,QELM,HardRejectSR,1.2459812969145379,1.254785422017706,-0.008804125103167934,-0.007015865861796789
AAPL,0,DLinear,QELM,LegacyPersist,1.2459812969145379,1.254785422017706,-0.008804125103167934,-0.007015865861796789
AAPL,0,DLinear,QELM,NaiveKD,1.245981296436992,1.254785422017706,-0.008804125580713714,-0.007015866242449431
AAPL,0,DLinear,QELM,Oracle,1.245981296436992,1.254785422017706,-0.008804125580713714,-0.007015866242449431
AAPL,0,DLinear,QELM,SoftSR,1.2459812969145379,1.254785422017706,-0.008804125103167934,-0.007015865861796789
AAPL,0,DLinear,QELM,ValSelect,1.245981296436992,1.254785422017706,-0.008804125580713714,-0.007015866242449431
AAPL,0,DLinear,QELM-NISQ,HardRejectPersist,1.245999588396624,1.254785422017706,-0.00878583362108191,-0.007001301193628383
AAPL,0,DLinear,QELM-NISQ,HardRejectSR,1.2459939123857422,1.254785422017706,-0.008791509631963809,-0.007005834151536029
AAPL,0,DLinear,QELM-NISQ,LegacyPersist,1.245983553677537,1.254785422017706,-0.008801868340168864,-0.007014089319014855
AAPL,0,DLinear,QELM-NISQ,NaiveKD,1.245999588396624,1.254785422017706,-0.00878583362108191,-0.007001301193628383
AAPL,0,DLinear,QELM-NISQ,Oracle,1.245999588396624,1.254785422017706,-0.00878583362108191,-0.007001301193628383
AAPL,0,DLinear,QELM-NISQ,SoftSR,1.2459890538728573,1.254785422017706,-0.00879636814484841,-0.0070097028609981534
AAPL,0,DLinear,QELM-NISQ,ValSelect,1.245999588396624,1.254785422017706,-0.00878583362108191,-0.007001301193628383
AAPL,0,N-HiTS,ClassicalELM,HardRejectPersist,1.2350348581087156,1.2353191696284875,-0.00028431151977185526,-0.00023013488700313633
AAPL,0,N-HiTS,ClassicalELM,HardRejectSR,1.2353191696284875,1.2353191696284875,0.0,0.0
AAPL,0,N-HiTS,ClassicalELM,LegacyPersist,1.236486335538408,1.2353191696284875,0.0011671659099204608,0.0009452989616905963
AAPL,0,N-HiTS,ClassicalELM,NaiveKD,1.2350348581087156,1.2353191696284875,-0.00028431151977185526,-0.00023013488700313633
AAPL,0,N-HiTS,ClassicalELM,Oracle,1.2350348581087156,1.2353191696284875,-0.00028431151977185526,-0.00023013488700313633
AAPL,0,N-HiTS,ClassicalELM,SoftSR,1.2350348582400623,1.2353191696284875,-0.000284311388425144,-0.00023013478071787696
AAPL,0,N-HiTS,ClassicalELM,ValSelect,1.2350348581087156,1.2353191696284875,-0.00028431151977185526,-0.00023013488700313633
AAPL,0,N-HiTS,QELM,HardRejectPersist,1.2349792249148124,1.2353191696284875,-0.00033994471367508144,-0.00027518750181678553
AAPL,0,N-HiTS,QELM,HardRejectSR,1.2353191696284875,1.2353191696284875,0.0,0.0
AAPL,0,N-HiTS,QELM,LegacyPersist,1.2367201962222838,1.2353191696284875,0.0014010265937962618,0.0011347180511579672
AAPL,0,N-HiTS,QELM,NaiveKD,1.2349792249148124,1.2353191696284875,-0.00033994471367508144,-0.00027518750181678553
AAPL,0,N-HiTS,QELM,Oracle,1.2349792249148124,1.2353191696284875,-0.00033994471367508144,-0.00027518750181678553
AAPL,0,N-HiTS,QELM,SoftSR,1.234979400605255,1.2353191696284875,-0.0003397690232325168,-0.00027504539224185295
AAPL,0,N-HiTS,QELM,ValSelect,1.2349792249148124,1.2353191696284875,-0.00033994471367508144,-0.00027518750181678553
AAPL,0,N-HiTS,QELM-NISQ,HardRejectPersist,1.234981819169766,1.2353191696284875,-0.00033735045872170427,-0.0002730977487800765
AAPL,0,N-HiTS,QELM-NISQ,HardRejectSR,1.2353191696284875,1.2353191696284875,0.0,0.0
AAPL,0,N-HiTS,QELM-NISQ,LegacyPersist,1.2367131251346877,1.2353191696284875,0.0013939555062002136,0.00112899287471964
AAPL,0,N-HiTS,QELM-NISQ,NaiveKD,1.234981819169766,1.2353191696284875,-0.00033735045872170427,-0.0002730977487800765
AAPL,0,N-HiTS,QELM-NISQ,Oracle,1.234981819169766,1.2353191696284875,-0.00033735045872170427,-0.0002730977487800765
AAPL,0,N-HiTS,QELM-NISQ,SoftSR,1.234995780647773,1.2353191696284875,-0.0003233889807144526,-0.00026179426207833915
AAPL,0,N-HiTS,QELM-NISQ,ValSelect,1.234981819169766,1.2353191696284875,-0.00033735045872170427,-0.0002730977487800765
AAPL,0,PatchTST,ClassicalELM,HardRejectPersist,1.238676399167441,1.2404029309979112,-0.0017265318304702237,-0.0013918837061105904
AAPL,0,PatchTST,ClassicalELM,HardRejectSR,1.2404029309979112,1.2404029309979112,0.0,0.0
AAPL,0,PatchTST,ClassicalELM,LegacyPersist,1.2395178806539384,1.2404029309979112,-0.000885050343972793,-0.0007136075704396419
AAPL,0,PatchTST,ClassicalELM,NaiveKD,1.238676399167441,1.2404029309979112,-0.0017265318304702237,-0.0013918837061105904
AAPL,0,PatchTST,ClassicalELM,Oracle,1.238676399167441,1.2404029309979112,-0.0017265318304702237,-0.0013918837061105904
AAPL,0,PatchTST,ClassicalELM,SoftSR,1.238676170892581,1.2404029309979112,-0.0017267601053300534,-0.0013920678413981951
AAPL,0,PatchTST,ClassicalELM,ValSelect,1.238676399167441,1.2404029309979112,-0.0017265318304702237,-0.0013918837061105904
AAPL,0,PatchTST,QELM,HardRejectPersist,1.2380295658987348,1.2404029309979112,-0.0023733650991765534,-0.0019133230829716382
AAPL,0,PatchTST,QELM,HardRejectSR,1.2395801013398027,1.2404029309979112,-0.000822829658108537,-0.0006631291810007032
AAPL,0,PatchTST,QELM,LegacyPersist,1.238569163866303,1.2404029309979112,-0.0018337671316082844,-0.0014782599227527555
AAPL,0,PatchTST,QELM,NaiveKD,1.2380295658987348,1.2404029309979112,-0.0023733650991765534,-0.0019133230829716382
AAPL,0,PatchTST,QELM,Oracle,1.2380295658987348,1.2404029309979112,-0.0023733650991765534,-0.0019133230829716382
AAPL,0,PatchTST,QELM,SoftSR,1.2380295211673433,1.2404029309979112,-0.002373409830567811,-0.0019133591373870016
AAPL,0,PatchTST,QELM,ValSelect,1.2380295658987348,1.2404029309979112,-0.0023733650991765534,-0.0019133230829716382
AAPL,0,PatchTST,QELM-NISQ,HardRejectPersist,1.2380370450035711,1.2404029309979112,-0.0023658859943402146,-0.001907299271715325
AAPL,0,PatchTST,QELM-NISQ,HardRejectSR,1.2395759454713013,1.2404029309979112,-0.0008269855266099432,-0.0006664784497691856
AAPL,0,PatchTST,QELM-NISQ,LegacyPersist,1.2385776516494436,1.2404029309979112,-0.0018252793484677305,-0.0014714201349156641
AAPL,0,PatchTST,QELM-NISQ,NaiveKD,1.2380370450035711,1.2404029309979112,-0.0023658859943402146,-0.001907299271715325
AAPL,0,PatchTST,QELM-NISQ,Oracle,1.2380370450035711,1.2404029309979112,-0.0023658859943402146,-0.001907299271715325
AAPL,0,PatchTST,QELM-NISQ,SoftSR,1.23802913540235,1.2404029309979112,-0.0023737955955610937,-0.001913671354442536
AAPL,0,PatchTST,QELM-NISQ,ValSelect,1.2380370450035711,1.2404029309979112,-0.0023658859943402146,-0.001907299271715325
AAPL,1,DLinear,ClassicalELM,HardRejectPersist,0.925011179001161,0.9320120139375243,-0.007000834936363387,-0.007511500221767376
AAPL,1,DLinear,ClassicalELM,HardRejectSR,0.9250111790592848,0.9320120139375243,-0.007000834878239659,-0.0075115001593248285
AAPL,1,DLinear,ClassicalELM,LegacyPersist,0.9250111790592848,0.9320120139375243,-0.007000834878239659,-0.0075115001593248285
AAPL,1,DLinear,ClassicalELM,NaiveKD,0.925011179001161,0.9320120139375243,-0.007000834936363387,-0.007511500221767376
AAPL,1,DLinear,ClassicalELM,Oracle,0.925011179001161,0.9320120139375243,-0.007000834936363387,-0.007511500221767376
AAPL,1,DLinear,ClassicalELM,SoftSR,0.9250111790592848,0.9320120139375243,-0.007000834878239659,-0.0075115001593248285
AAPL,1,DLinear,ClassicalELM,ValSelect,0.925011179001161,0.9320120139375243,-0.007000834936363387,-0.007511500221767376
AAPL,1,DLinear,QELM,HardRejectPersist,0.9217214262057253,0.9320120139375243,-0.010290587731799064,-0.011041092601530583
AAPL,1,DLinear,QELM,HardRejectSR,0.9217214264862092,0.9320120139375243,-0.01029058745131517,-0.011041092300598354
AAPL,1,DLinear,QELM,LegacyPersist,0.9217214264862092,0.9320120139375243,-0.01029058745131517,-0.011041092300598354
AAPL,1,DLinear,QELM,NaiveKD,0.9217214262057253,0.9320120139375243,-0.010290587731799064,-0.011041092601530583
AAPL,1,DLinear,QELM,Oracle,0.9217214262057253,0.9320120139375243,-0.010290587731799064,-0.011041092601530583
AAPL,1,DLinear,QELM,SoftSR,0.9217214264862092,0.9320120139375243,-0.01029058745131517,-0.011041092300598354
AAPL,1,DLinear,QELM,ValSelect,0.9217214262057253,0.9320120139375243,-0.010290587731799064,-0.011041092601530583
AAPL,1,DLinear,QELM-NISQ,HardRejectPersist,0.9216808801336228,0.9320120139375243,-0.01033113380390153,-0.011084597033350267
AAPL,1,DLinear,QELM-NISQ,HardRejectSR,0.921700434348316,0.9320120139375243,-0.0103115795892084,-0.011063611576648272
AAPL,1,DLinear,QELM-NISQ,LegacyPersist,0.9217097319120526,0.9320120139375243,-0.010302282025471787,-0.01105363287231418
AAPL,1,DLinear,QELM-NISQ,NaiveKD,0.9216808801336228,0.9320120139375243,-0.01033113380390153,-0.011084597033350267
AAPL,1,DLinear,QELM-NISQ,Oracle,0.9216808801336228,0.9320120139375243,-0.01033113380390153,-0.011084597033350267
AAPL,1,DLinear,QELM-NISQ,SoftSR,0.9216998505966864,0.9320120139375243,-0.010312163340838029,-0.011064243262372764
AAPL,1,DLinear,QELM-NISQ,ValSelect,0.9216808801336228,0.9320120139375243,-0.01033113380390153,-0.011084597033350267
AAPL,1,N-HiTS,ClassicalELM,HardRejectPersist,0.9025990519227571,0.9029524819407109,-0.0003534300179537375,-0.00039149470634738877
AAPL,1,N-HiTS,ClassicalELM,HardRejectSR,0.9029524819407109,0.9029524819407109,0.0,0.0
AAPL,1,N-HiTS,ClassicalELM,LegacyPersist,0.9031766321158421,0.9029524819407109,0.00022415017513122137,0.0002495685860196786
AAPL,1,N-HiTS,ClassicalELM,NaiveKD,0.9025990519227571,0.9029524819407109,-0.0003534300179537375,-0.00039149470634738877
AAPL,1,N-HiTS,ClassicalELM,Oracle,0.9025990519227571,0.9029524819407109,-0.0003534300179537375,-0.00039149470634738877
AAPL,1,N-HiTS,ClassicalELM,SoftSR,0.9025990518196458,0.9029524819407109,-0.0003534301210651088,-0.0003914948205945991
AAPL,1,N-HiTS,ClassicalELM,ValSelect,0.9025990519227571,0.9029524819407109,-0.0003534300179537375,-0.00039149470634738877
AAPL,1,N-HiTS,QELM,HardRejectPersist,0.9025356804010253,0.9029524819407109,-0.00041680153968555916,-0.0004616326815928963
AAPL,1,N-HiTS,QELM,HardRejectSR,0.9029524819407109,0.9029524819407109,0.0,0.0
AAPL,1,N-HiTS,QELM,LegacyPersist,0.9030738461197632,0.9029524819407109,0.00012136417905221168,0.00013575578088496337
AAPL,1,N-HiTS,QELM,NaiveKD,0.9025356804010253,0.9029524819407109,-0.00041680153968555916,-0.0004616326815928963
AAPL,1,N-HiTS,QELM,Oracle,0.9025356804010253,0.9029524819407109,-0.00041680153968555916,-0.0004616326815928963
AAPL,1,N-HiTS,QELM,SoftSR,0.9025356805349993,0.9029524819407109,-0.0004168014057115051,-0.0004616325329266007
AAPL,1,N-HiTS,QELM,ValSelect,0.9025356804010253,0.9029524819407109,-0.00041680153968555916,-0.0004616326815928963
AAPL,1,N-HiTS,QELM-NISQ,HardRejectPersist,0.9025460115761171,0.9029524819407109,-0.0004064703645937732,-0.00045020614877565307
AAPL,1,N-HiTS,QELM-NISQ,HardRejectSR,0.9029524819407109,0.9029524819407109,0.0,0.0
AAPL,1,N-HiTS,QELM-NISQ,LegacyPersist,0.9030663438820654,0.9029524819407109,0.00011386194135454275,0.0001274563904214637
AAPL,1,N-HiTS,QELM-NISQ,NaiveKD,0.9025460115761171,0.9029524819407109,-0.0004064703645937732,-0.00045020614877565307
AAPL,1,N-HiTS,QELM-NISQ,Oracle,0.9025460115761171,0.9029524819407109,-0.0004064703645937732,-0.00045020614877565307
AAPL,1,N-HiTS,QELM-NISQ,SoftSR,0.9025310757201174,0.9029524819407109,-0.00042140622059350097,-0.00046673758286834376
AAPL,1,N-HiTS,QELM-NISQ,ValSelect,0.9025460115761171,0.9029524819407109,-0.0004064703645937732,-0.00045020614877565307
AAPL,1,PatchTST,ClassicalELM,HardRejectPersist,0.9102187041123683,0.9107189003092403,-0.000500196196872064,-0.0005491502023987812
AAPL,1,PatchTST,ClassicalELM,HardRejectSR,0.9106416034755651,0.9107189003092403,-7.729683367526292e-05,-8.503171945759693e-05
AAPL,1,PatchTST,ClassicalELM,LegacyPersist,0.9095290071488762,0.9107189003092403,-0.0011898931603641454,-0.0013052651318846932
AAPL,1,PatchTST,ClassicalELM,NaiveKD,0.9102187041123683,0.9107189003092403,-0.000500196196872064,-0.0005491502023987812
AAPL,1,PatchTST,ClassicalELM,Oracle,0.9102187041123683,0.9107189003092403,-0.000500196196872064,-0.0005491502023987812
AAPL,1,PatchTST,ClassicalELM,SoftSR,0.9102189441396509,0.9107189003092403,-0.0004999561695894587,-0.0005488866472151283
AAPL,1,PatchTST,ClassicalELM,ValSelect,0.9102187041123683,0.9107189003092403,-0.000500196196872064,-0.0005491502023987812
AAPL,1,PatchTST,QELM,HardRejectPersist,0.909361668716994,0.9107189003092403,-0.0013572315922463958,-0.0014902264621744626
AAPL,1,PatchTST,QELM,HardRejectSR,0.9093618855617261,0.9107189003092403,-0.0013570147475142254,-0.0014899883665539689
AAPL,1,PatchTST,QELM,LegacyPersist,0.9093618855617261,0.9107189003092403,-0.0013570147475142254,-0.0014899883665539689
AAPL,1,PatchTST,QELM,NaiveKD,0.909361668716994,0.9107189003092403,-0.0013572315922463958,-0.0014902264621744626
AAPL,1,PatchTST,QELM,Oracle,0.909361668716994,0.9107189003092403,-0.0013572315922463958,-0.0014902264621744626
AAPL,1,PatchTST,QELM,SoftSR,0.9093618855617261,0.9107189003092403,-0.0013570147475142254,-0.0014899883665539689
AAPL,1,PatchTST,QELM,ValSelect,0.909361668716994,0.9107189003092403,-0.0013572315922463958,-0.0014902264621744626
AAPL,1,PatchTST,QELM-NISQ,HardRejectPersist,0.9093588238033008,0.9107189003092403,-0.0013600765059395374,-0.001493349085774042
AAPL,1,PatchTST,QELM-NISQ,HardRejectSR,0.9093593242578804,0.9107189003092403,-0.0013595760513599082,-0.0014927689932995767
AAPL,1,PatchTST,QELM-NISQ,LegacyPersist,0.9093654965324873,0.9107189003092403,-0.0013534037767529705,-0.0014860018431425877
AAPL,1,PatchTST,QELM-NISQ,NaiveKD,0.9093588238033008,0.9107189003092403,-0.0013600765059395374,-0.001493349085774042
AAPL,1,PatchTST,QELM-NISQ,Oracle,0.9093588238033008,0.9107189003092403,-0.0013600765059395374,-0.001493349085774042
AAPL,1,PatchTST,QELM-NISQ,SoftSR,0.9093494923653879,0.9107189003092403,-0.0013694079438523559,-0.0015035813642401768
AAPL,1,PatchTST,QELM-NISQ,ValSelect,0.9093588238033008,0.9107189003092403,-0.0013600765059395374,-0.001493349085774042
AAPL,2,DLinear,ClassicalELM,HardRejectPersist,0.5619035682120614,0.5649321052399854,-0.0030285370279239388,-0.005360887585097435
AAPL,2,DLinear,ClassicalELM,HardRejectSR,0.561903568222739,0.5649321052399854,-0.0030285370172464057,-0.005360887566269162
AAPL,2,DLinear,ClassicalELM,LegacyPersist,0.561903568222739,0.5649321052399854,-0.0030285370172464057,-0.005360887566269162
AAPL,2,DLinear,ClassicalELM,NaiveKD,0.5619035682120614,0.5649321052399854,-0.0030285370279239388,-0.005360887585097435
