dataset,origin,seed,model,gate,action,cal_MASE,persistence_MASE,diverged,MAE,RMSE,MSE,MASE,Bias,WAPE,teacher,student,policy,picked,MASE_NS,regret,rel_regret
ETTh1,0,42,DLinear_NaiveKD[QELM],1.0,,2.0915862966872147,2.4577925311980358,False,1.6088040512296735,2.123866049952693,4.510806998141656,2.183632182212444,0.7482422723756449,14.647444337467272,QELM,DLinear,NaiveKD,,2.059679924488529,0.12395225772391516,0.06018034950488517
ETTh1,0,42,DLinear_SoftSR[QELM],0.0,reject,2.009654931323255,2.4577925311980358,False,1.5174814850897789,2.024174821870386,4.097283709494008,2.059679924488529,0.3309365631604656,13.815993047133707,QELM,DLinear,SoftSR,,2.059679924488529,0.0,0.0
ETTh1,0,42,DLinear_HardRejectSR[QELM],0.0,,2.009654931323255,2.4577925311980358,False,1.5174814850897789,2.024174821870386,4.097283709494008,2.059679924488529,0.3309365631604656,13.815993047133707,QELM,DLinear,HardRejectSR,,2.059679924488529,0.0,0.0
ETTh1,0,42,DLinear_LegacyPersist[QELM],0.5305896550581664,,2.0435562174471307,2.4577925311980358,False,1.5530638726141557,2.06112647983822,4.2482423658902935,2.1079759531184887,0.5609674184451864,14.1399548374208,QELM,DLinear,LegacyPersist,,2.059679924488529,0.04829602862995985,0.02344831740880952
ETTh1,0,42,PatchTST_NaiveKD[QELM],1.0,,2.2098711641429447,2.4577925311980358,False,1.5992940774686202,2.077061533586898,4.314184614306355,2.1707242803826587,0.1955177993060128,14.560860262042215,QELM,PatchTST,NaiveKD,,2.076449959487368,0.09427432089529075,0.045401682070183434
ETTh1,0,42,PatchTST_SoftSR[QELM],0.0,reject,2.086425278029993,2.4577925311980358,False,1.529836908528382,2.0110640398760333,4.044378572482511,2.076449959487368,0.1682076049381592,13.9284836745314,QELM,PatchTST,SoftSR,,2.076449959487368,0.0,0.0
ETTh1,0,42,PatchTST_HardRejectSR[QELM],0.0,,2.086425278029993,2.4577925311980358,False,1.529836908528382,2.0110640398760333,4.044378572482511,2.076449959487368,0.1682076049381592,13.9284836745314,QELM,PatchTST,HardRejectSR,,2.076449959487368,0.0,0.0
ETTh1,0,42,PatchTST_LegacyPersist[QELM],0.5305896550581664,,2.103586568314896,2.4577925311980358,False,1.5693502742783765,2.065661454213211,4.266957243422238,2.130081510833394,0.4384874767251892,14.288235270735209,QELM,PatchTST,LegacyPersist,,2.076449959487368,0.05363155134602593,0.025828482454384037
ETTh1,0,42,N-HiTS_NaiveKD[QELM],1.0,,2.198971621294453,2.4577925311980358,False,1.6045819141842526,2.088565264238533,4.362104862983773,2.177901469188041,0.2398381475684573,14.609003660176157,QELM,N-HiTS,NaiveKD,,2.134462035970703,0.04343943321733823,0.020351466779582706
ETTh1,0,42,N-HiTS_SoftSR[QELM],0.0,reject,2.1098040700132987,2.4577925311980358,False,1.5725776523344537,2.0660321891261435,4.268489006505364,2.134462035970703,0.410901344658285,14.317619110486374,QELM,N-HiTS,SoftSR,,2.134462035970703,0.0,0.0
ETTh1,0,42,N-HiTS_HardRejectSR[QELM],0.0,,2.1098040700132987,2.4577925311980358,False,1.5725776523344537,2.0660321891261435,4.268489006505364,2.134462035970703,0.410901344658285,14.317619110486374,QELM,N-HiTS,HardRejectSR,,2.134462035970703,0.0,0.0
ETTh1,0,42,N-HiTS_LegacyPersist[QELM],0.5305896550581664,,2.1880258267043327,2.4577925311980358,False,1.6034985688292374,2.0973147488569546,4.39872915577291,2.176431042892276,0.4843353651790249,14.599140283232448,QELM,N-HiTS,LegacyPersist,,2.134462035970703,0.041969006921573015,0.019662568935074315
ETTh1,0,42,DLinear_NaiveKD[QELM-NISQ],1.0,,2.097499525399772,2.4577925311980358,False,1.616184670778518,2.131871859387891,4.544877624849983,2.193649908335898,0.7734341182386969,14.714641591188188,QELM-NISQ,DLinear,NaiveKD,,2.059679924488529,0.1339699838473689,0.0650440790603118
ETTh1,0,42,DLinear_SoftSR[QELM-NISQ],0.0,reject,2.009654931323255,2.4577925311980358,False,1.5174814850897789,2.024174821870386,4.097283709494008,2.059679924488529,0.3309365631604656,13.815993047133707,QELM-NISQ,DLinear,SoftSR,,2.059679924488529,0.0,0.0
ETTh1,0,42,DLinear_HardRejectSR[QELM-NISQ],0.0,,2.009654931323255,2.4577925311980358,False,1.5174814850897789,2.024174821870386,4.097283709494008,2.059679924488529,0.3309365631604656,13.815993047133707,QELM-NISQ,DLinear,HardRejectSR,,2.059679924488529,0.0,0.0
ETTh1,0,42,DLinear_LegacyPersist[QELM-NISQ],0.5056604178493093,,2.042638053883662,2.4577925311980358,False,1.548248126650005,2.056157774724219,4.227784794558851,2.1014395338071115,0.5560042666430449,14.096109615313509,QELM-NISQ,DLinear,LegacyPersist,,2.059679924488529,0.04175960931858258,0.02027480523652361
ETTh1,0,42,PatchTST_NaiveKD[QELM-NISQ],1.0,,2.2179024937510694,2.4577925311980358,False,1.5989829450738746,2.0774788903989685,4.31591854005333,2.1703019799107177,0.2445647059858458,14.55802754016404,QELM-NISQ,PatchTST,NaiveKD,,2.076449959487368,0.09385202042334972,0.0451983058847803
ETTh1,0,42,PatchTST_SoftSR[QELM-NISQ],0.0,reject,2.086425278029993,2.4577925311980358,False,1.529836908528382,2.0110640398760333,4.044378572482511,2.076449959487368,0.1682076049381592,13.9284836745314,QELM-NISQ,PatchTST,SoftSR,,2.076449959487368,0.0,0.0
ETTh1,0,42,PatchTST_HardRejectSR[QELM-NISQ],0.0,,2.086425278029993,2.4577925311980358,False,1.529836908528382,2.0110640398760333,4.044378572482511,2.076449959487368,0.1682076049381592,13.9284836745314,QELM-NISQ,PatchTST,HardRejectSR,,2.076449959487368,0.0,0.0
