student,policy,n_units,nt_rate,nt_rate_upper95,regret_mean,regret_median,regret_P95,regret_P99,regret_CVaR95,divergence_rate,benefit_retention
DLinear,NaiveKD,90,0.8,0.8667,1.1886,0.1921,5.8962,6.9329,6.7532,0.0,0.3441
DLinear,SoftSR,90,0.1889,0.2556,0.0033,0.0,0.0339,0.1123,0.071,0.0,0.5297
DLinear,HardRejectSR,90,0.0,0.0,-0.0008,0.0,0.0,0.0,0.0,0.0,0.5198
DLinear,LegacyPersist,90,0.6889,0.7667,0.2619,0.0581,1.266,1.5095,1.4248,0.0,0.5485
DLinear,ValSelect,90,0.0222,0.0556,-0.002,0.0,0.0,0.0103,0.0005,0.0,0.6792
DLinear,HardRejectPersist,90,0.1778,0.2444,0.0158,0.0,0.1575,0.2696,0.223,0.0,0.3809
DLinear,Oracle,90,0.0,0.0,-0.0032,0.0,0.0,0.0,0.0,0.0,1.0
PatchTST,NaiveKD,90,0.7222,0.8,1.1618,0.2638,5.4897,6.096,5.9163,0.0963,0.0817
PatchTST,SoftSR,90,0.2111,0.2889,0.0531,0.0,0.4685,0.9686,0.8253,0.0667,0.206
PatchTST,HardRejectSR,90,0.0,0.0,-0.0059,0.0,0.0,0.0,0.0,0.0667,0.254
PatchTST,LegacyPersist,90,0.7111,0.7889,0.3007,0.0973,1.3943,1.6634,1.6347,0.0667,0.0928
PatchTST,ValSelect,90,0.1333,0.1889,0.0048,0.0,0.1483,0.361,0.3192,0.0667,0.3938
PatchTST,HardRejectPersist,90,0.1333,0.2,0.0218,0.0,0.2247,0.3677,0.4071,0.0667,0.3828
PatchTST,Oracle,90,0.0,0.0,-0.0308,0.0,0.0,0.0,0.0,0.0667,1.0
N-HiTS,NaiveKD,90,0.6889,0.7667,1.2908,0.1687,6.0672,6.8255,6.7827,0.0259,0.0517
N-HiTS,SoftSR,90,0.0778,0.1222,-0.0122,0.0,0.0118,0.1489,0.1107,0.0,0.5139
N-HiTS,HardRejectSR,90,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0145
N-HiTS,LegacyPersist,90,0.6778,0.7556,0.2574,0.0303,1.4336,1.6039,1.5802,0.0,0.0141
N-HiTS,ValSelect,90,0.0667,0.1111,-0.009,0.0,0.0051,0.142,0.0964,0.0,0.4692
N-HiTS,HardRejectPersist,90,0.1222,0.1778,0.0074,0.0,0.1697,0.2808,0.2733,0.0,0.2857
N-HiTS,Oracle,90,0.0,0.0,-0.0302,0.0,0.0,0.0,0.0,0.0,1.0
