dataset,origin,seed,model,gate,action,cal_MASE,persistence_MASE,diverged,MAE,RMSE,MSE,MASE,Bias,WAPE,teacher,student,policy
ETTh1,0,42,DLinear_NS,,,2.009654931323255,2.4577925311980353,False,1.5174814850897789,2.024174821870386,4.097283709494008,2.059679924488529,0.33093656316046566,13.815993047133707,,,
ETTh1,0,42,PatchTST_NS,,,2.086425278029993,2.4577925311980353,False,1.529836908528382,2.0110640398760333,4.044378572482511,2.076449959487368,0.16820760493815928,13.9284836745314,,,
ETTh1,0,42,N-HiTS_NS,,,2.1098040700132987,2.4577925311980353,False,1.5725776523344537,2.0660321891261435,4.268489006505364,2.134462035970703,0.410901344658285,14.317619110486374,,,
ETTh1,0,42,DLinear_NaiveKD[QELM],1.0,,2.0915862966872147,2.4577925311980353,False,1.6088040512296737,2.123866049952693,4.510806998141656,2.1836321822124436,0.7482422723756449,14.647444337467272,QELM,DLinear,NaiveKD
ETTh1,0,42,DLinear_SoftSR[QELM],0.0,reject,2.009654931323255,2.4577925311980353,False,1.5174814850897789,2.024174821870386,4.097283709494008,2.059679924488529,0.33093656316046566,13.815993047133707,QELM,DLinear,SoftSR
ETTh1,0,42,DLinear_HardRejectSR[QELM],0.0,,2.009654931323255,2.4577925311980353,False,1.5174814850897789,2.024174821870386,4.097283709494008,2.059679924488529,0.33093656316046566,13.815993047133707,QELM,DLinear,HardRejectSR
ETTh1,0,42,DLinear_LegacyPersist[QELM],0.5305896550581664,,2.0435562174471307,2.4577925311980353,False,1.5530638726141557,2.06112647983822,4.2482423658902935,2.1079759531184887,0.5609674184451864,14.1399548374208,QELM,DLinear,LegacyPersist
ETTh1,0,42,PatchTST_NaiveKD[QELM],1.0,,2.2098711641429447,2.4577925311980353,False,1.5992940774686202,2.077061533586898,4.314184614306355,2.1707242803826587,0.19551779930601282,14.560860262042215,QELM,PatchTST,NaiveKD
ETTh1,0,42,PatchTST_SoftSR[QELM],0.0,reject,2.086425278029993,2.4577925311980353,False,1.529836908528382,2.0110640398760333,4.044378572482511,2.076449959487368,0.16820760493815928,13.9284836745314,QELM,PatchTST,SoftSR
ETTh1,0,42,PatchTST_HardRejectSR[QELM],0.0,,2.086425278029993,2.4577925311980353,False,1.529836908528382,2.0110640398760333,4.044378572482511,2.076449959487368,0.16820760493815928,13.9284836745314,QELM,PatchTST,HardRejectSR
ETTh1,0,42,PatchTST_LegacyPersist[QELM],0.5305896550581664,,2.103586568314896,2.4577925311980353,False,1.5693502742783765,2.065661454213211,4.266957243422238,2.130081510833394,0.43848747672518923,14.288235270735209,QELM,PatchTST,LegacyPersist
ETTh1,0,42,N-HiTS_NaiveKD[QELM],1.0,,2.1989716212944526,2.4577925311980353,False,1.6045819141842526,2.088565264238533,4.362104862983773,2.177901469188041,0.23983814756845737,14.609003660176157,QELM,N-HiTS,NaiveKD
ETTh1,0,42,N-HiTS_SoftSR[QELM],0.0,reject,2.1098040700132987,2.4577925311980353,False,1.5725776523344537,2.0660321891261435,4.268489006505364,2.134462035970703,0.410901344658285,14.317619110486374,QELM,N-HiTS,SoftSR
ETTh1,0,42,N-HiTS_HardRejectSR[QELM],0.0,,2.1098040700132987,2.4577925311980353,False,1.5725776523344537,2.0660321891261435,4.268489006505364,2.134462035970703,0.410901344658285,14.317619110486374,QELM,N-HiTS,HardRejectSR
ETTh1,0,42,N-HiTS_LegacyPersist[QELM],0.5305896550581664,,2.1880258267043327,2.4577925311980353,False,1.6034985688292374,2.0973147488569546,4.39872915577291,2.176431042892276,0.4843353651790249,14.599140283232448,QELM,N-HiTS,LegacyPersist
ETTh1,0,42,DLinear_NaiveKD[QELM-NISQ],1.0,,2.0974995253997717,2.4577925311980353,False,1.616184670778518,2.131871859387891,4.544877624849983,2.193649908335898,0.7734341182386969,14.714641591188188,QELM-NISQ,DLinear,NaiveKD
ETTh1,0,42,DLinear_SoftSR[QELM-NISQ],0.0,reject,2.009654931323255,2.4577925311980353,False,1.5174814850897789,2.024174821870386,4.097283709494008,2.059679924488529,0.33093656316046566,13.815993047133707,QELM-NISQ,DLinear,SoftSR
ETTh1,0,42,DLinear_HardRejectSR[QELM-NISQ],0.0,,2.009654931323255,2.4577925311980353,False,1.5174814850897789,2.024174821870386,4.097283709494008,2.059679924488529,0.33093656316046566,13.815993047133707,QELM-NISQ,DLinear,HardRejectSR
ETTh1,0,42,DLinear_LegacyPersist[QELM-NISQ],0.5056604178493093,,2.042638053883662,2.4577925311980353,False,1.548248126650005,2.056157774724219,4.227784794558851,2.1014395338071115,0.5560042666430449,14.096109615313507,QELM-NISQ,DLinear,LegacyPersist
ETTh1,0,42,PatchTST_NaiveKD[QELM-NISQ],1.0,,2.2179024937510694,2.4577925311980353,False,1.5989829450738746,2.0774788903989685,4.31591854005333,2.1703019799107177,0.24456470598584587,14.558027540164039,QELM-NISQ,PatchTST,NaiveKD
ETTh1,0,42,PatchTST_SoftSR[QELM-NISQ],0.0,reject,2.086425278029993,2.4577925311980353,False,1.529836908528382,2.0110640398760333,4.044378572482511,2.076449959487368,0.16820760493815928,13.9284836745314,QELM-NISQ,PatchTST,SoftSR
ETTh1,0,42,PatchTST_HardRejectSR[QELM-NISQ],0.0,,2.086425278029993,2.4577925311980353,False,1.529836908528382,2.0110640398760333,4.044378572482511,2.076449959487368,0.16820760493815928,13.9284836745314,QELM-NISQ,PatchTST,HardRejectSR
ETTh1,0,42,PatchTST_LegacyPersist[QELM-NISQ],0.5056604178493093,,2.1064896719804684,2.4577925311980353,False,1.564991244604554,2.0593360671505594,4.240865037467134,2.1241649932365476,0.42742590063865976,14.24854824703342,QELM-NISQ,PatchTST,LegacyPersist
ETTh1,0,42,N-HiTS_NaiveKD[QELM-NISQ],1.0,,2.26522774017703,2.4577925311980353,False,1.6402539977276545,2.126877544221447,4.523608088113453,2.2263192423608555,0.45610426892273503,14.933782092766556,QELM-NISQ,N-HiTS,NaiveKD
ETTh1,0,42,N-HiTS_SoftSR[QELM-NISQ],0.0,reject,2.1098040700132987,2.4577925311980353,False,1.5725776523344537,2.0660321891261435,4.268489006505364,2.134462035970703,0.410901344658285,14.317619110486374,QELM-NISQ,N-HiTS,SoftSR
ETTh1,0,42,N-HiTS_HardRejectSR[QELM-NISQ],0.0,,2.1098040700132987,2.4577925311980353,False,1.5725776523344537,2.0660321891261435,4.268489006505364,2.134462035970703,0.410901344658285,14.317619110486374,QELM-NISQ,N-HiTS,HardRejectSR
ETTh1,0,42,N-HiTS_LegacyPersist[QELM-NISQ],0.5056604178493093,,2.1790296183646762,2.4577925311980353,False,1.6582940361607614,2.160675537623924,4.668518778886432,2.250805013925623,0.6074951289800629,15.098028607805311,QELM-NISQ,N-HiTS,LegacyPersist
ETTh1,0,42,DLinear_NaiveKD[ClassicalELM],1.0,,2.016167386454824,2.4577925311980353,False,1.5187327906000867,2.0198599691963652,4.079834295161941,2.061378323358173,0.3011353582992426,13.827385626483188,ClassicalELM,DLinear,NaiveKD
ETTh1,0,42,DLinear_SoftSR[ClassicalELM],0.9401694055832832,attenuate,2.0143252678287715,2.4577925311980353,False,1.5192715508939547,2.0228762021935225,4.092028129400889,2.0621095835233185,0.33279845086431126,13.832290798999155,ClassicalELM,DLinear,SoftSR
ETTh1,0,42,DLinear_HardRejectSR[ClassicalELM],0.0,,2.009654931323255,2.4577925311980353,False,1.5174814850897789,2.024174821870386,4.097283709494008,2.059679924488529,0.33093656316046566,13.815993047133707,ClassicalELM,DLinear,HardRejectSR
ETTh1,0,42,DLinear_LegacyPersist[ClassicalELM],1.0,,2.01193077139431,2.4577925311980353,False,1.5157679156784694,2.0193567649299125,4.077801744068202,2.0573540941239603,0.32911161467572037,13.8003917608544,ClassicalELM,DLinear,LegacyPersist
ETTh1,0,42,PatchTST_NaiveKD[ClassicalELM],1.0,,2.0630379409251565,2.4577925311980353,False,1.5370798159170505,2.0258873904630397,4.104219718837144,2.086280768686656,0.34057006085138625,13.994427120369856,ClassicalELM,PatchTST,NaiveKD
ETTh1,0,42,PatchTST_SoftSR[ClassicalELM],1.0,accept,2.063014261283283,2.4577925311980353,False,1.53715358902376,2.0265244976487056,4.106801539570338,2.0863809010364407,0.34438604377450827,13.99509879164847,ClassicalELM,PatchTST,SoftSR
ETTh1,0,42,PatchTST_HardRejectSR[ClassicalELM],0.0,,2.086425278029993,2.4577925311980353,False,1.529836908528382,2.0110640398760333,4.044378572482511,2.076449959487368,0.16820760493815928,13.9284836745314,ClassicalELM,PatchTST,HardRejectSR
ETTh1,0,42,PatchTST_LegacyPersist[ClassicalELM],1.0,,2.0666914674758257,2.4577925311980353,False,1.5312501761325097,2.0178551561461964,4.07173943118579,2.0783681897529447,0.3670724971239063,13.941350846608438,ClassicalELM,PatchTST,LegacyPersist
ETTh1,0,42,N-HiTS_NaiveKD[ClassicalELM],1.0,,2.091404677241626,2.4577925311980353,False,1.5664026729511171,2.057347134384019,4.232677231358134,2.126080727075039,0.4357868249577807,14.261398673489525,ClassicalELM,N-HiTS,NaiveKD
ETTh1,0,42,N-HiTS_SoftSR[ClassicalELM],1.0,accept,2.09140468572498,2.4577925311980353,False,1.566402672694385,2.0573471354116957,4.23267723558671,2.1260807267265758,0.435786856079421,14.261398671152092,ClassicalELM,N-HiTS,SoftSR
ETTh1,0,42,N-HiTS_HardRejectSR[ClassicalELM],0.0,,2.1098040700132987,2.4577925311980353,False,1.5725776523344537,2.0660321891261435,4.268489006505364,2.134462035970703,0.410901344658285,14.317619110486374,ClassicalELM,N-HiTS,HardRejectSR
ETTh1,0,42,N-HiTS_LegacyPersist[ClassicalELM],1.0,,2.0984601175606197,2.4577925311980353,False,1.5738361453177057,2.0640561145144756,4.260327643864594,2.136170190408291,0.46406958561874684,14.329077128575765,ClassicalELM,N-HiTS,LegacyPersist
ETTh1,0,123,DLinear_NS,,,2.0093059248375047,2.4577925311980353,False,1.5194588477715947,2.0274985535565353,4.1107503846738425,2.0623638018598087,0.35275132418192295,13.833996053649475,,,
ETTh1,0,123,PatchTST_NS,,,2.0923585509576044,2.4577925311980353,False,1.534864231712312,2.0165808118251483,4.066598170621374,2.0832735528804984,0.28571573111622434,13.974255212989917,,,
ETTh1,0,123,N-HiTS_NS,,,2.0810387826586756,2.4577925311980353,False,1.570957488521887,2.0747108351506456,4.304425049491489,2.1322629851671744,0.4418954371150871,14.302868240581484,,,
ETTh1,0,123,DLinear_NaiveKD[QELM],1.0,,2.0889842089258743,2.4577925311980353,False,1.5953855346794703,2.105115815684186,4.431512597443696,2.165419209318586,0.6720751669738361,14.525274720781974,QELM,DLinear,NaiveKD
ETTh1,0,123,DLinear_SoftSR[QELM],0.0,reject,2.0093059248375047,2.4577925311980353,False,1.5194588477715947,2.0274985535565353,4.1107503846738425,2.0623638018598087,0.35275132418192295,13.833996053649475,QELM,DLinear,SoftSR
