student,teacher,dataset,origin,reference,n_windows,dm_stat,dm_p,boot_lo,boot_hi,ess_ratio
DLinear,QELM,AAPL,0,NaiveKD,486,-0.7072690491966831,0.47973898826592054,-1.034802860683865e-10,1.9163015938590093e-11,1.0
DLinear,QELM,AAPL,0,LegacyPersist,486,,,0.0,0.0,1.0
DLinear,QELM,AAPL,1,NaiveKD,486,-1.112900172171604,0.2663025913841234,-6.13216510034883e-11,1.5330412750872076e-11,1.0
DLinear,QELM,AAPL,1,LegacyPersist,486,,,0.0,0.0,1.0
DLinear,QELM,AAPL,2,NaiveKD,486,0.4865760620988027,0.6267785895518747,-3.837393941702666e-11,3.4493428689462165e-11,1.0
DLinear,QELM,AAPL,2,LegacyPersist,486,,,0.0,0.0,1.0
DLinear,QELM,AAPL,3,NaiveKD,486,,,0.0,0.0,1.0
DLinear,QELM,AAPL,3,LegacyPersist,486,0.7274460519135161,0.46730375662397583,-4.975037714428126e-06,1.457538489259994e-05,1.0
DLinear,QELM,AAPL,4,NaiveKD,486,,,0.0,0.0,1.0
DLinear,QELM,AAPL,4,LegacyPersist,486,,,0.0,0.0,1.0
DLinear,QELM,ETTh1,0,NaiveKD,1393,-2.471853502558045,0.013560326434900584,-0.14008066804447108,-0.013069518741115994,0.05897865172688167
DLinear,QELM,ETTh1,0,LegacyPersist,1393,-1.616881994515632,0.10613033357919695,-0.05822599088266353,0.005762644204105817,0.06962017440168604
DLinear,QELM,ETTh1,1,NaiveKD,1393,-5.332131348295676,1.1313707019486612e-07,-0.44026194855100115,-0.19246300628725702,0.03943537421668912
DLinear,QELM,ETTh1,1,LegacyPersist,1393,-3.6716729530442116,0.00025008563248962295,-0.19569675389621127,-0.05901135029184333,0.04834159155609121
DLinear,QELM,ETTh1,2,NaiveKD,1393,-6.611326007094598,5.4127846766221294e-11,-0.8247777037675528,-0.405567879937937,0.04899172256518353
DLinear,QELM,ETTh1,2,LegacyPersist,1393,-0.28611662349395434,0.7748313732254798,-0.05266357407091508,0.0497224776765595,0.06436974793904321
DLinear,QELM,ETTh1,3,NaiveKD,1393,-3.785683852459964,0.00015980470803833623,-0.6135891669771479,-0.16146050814782556,0.030519479538813697
DLinear,QELM,ETTh1,3,LegacyPersist,1393,0.7423920864113335,0.457975064976735,-0.03672431202743093,0.059610744492984466,0.03420843245596499
DLinear,QELM,ETTh1,4,NaiveKD,1393,-1.8689697157591283,0.06183689370389179,-0.12602554683259984,-0.0037546561382395395,0.04655260316017986
DLinear,QELM,ETTh1,4,LegacyPersist,1393,-0.671230371275696,0.5021851494042404,-0.042038230091996615,0.0136170197323724,0.05370908578528005
DLinear,QELM,ETTm2,0,NaiveKD,1600,-7.772072175211165,1.3720396722137094e-14,-2.0582578131407496,-0.8385795453232714,0.008276639427917362
DLinear,QELM,ETTm2,0,LegacyPersist,1600,-5.226143173708241,1.958669794342216e-07,-0.41782975462125616,-0.10174768232693904,0.011949787552015237
DLinear,QELM,ETTm2,1,NaiveKD,1600,-10.161835363295637,1.4977482278782073e-23,-1.9339538264619187,-1.1381396172586828,0.031190804772046086
DLinear,QELM,ETTm2,1,LegacyPersist,1600,-5.251477310186468,1.7114331144727273e-07,-0.49093907281849536,-0.1941415640097113,0.0491040681246939
DLinear,QELM,ETTm2,2,NaiveKD,1600,-8.53876198705174,3.1077314613915487e-17,-1.7733972233771347,-0.8200290109668859,0.01444532290249193
DLinear,QELM,ETTm2,2,LegacyPersist,1600,-4.602149459509997,4.511660753803405e-06,-0.39713131553516723,-0.08671956444485117,0.022350094625927575
DLinear,QELM,ETTm2,3,NaiveKD,1600,-11.031980413660204,2.519414647709678e-27,-1.5327892710296438,-0.9569581194198691,0.028533842918142593
DLinear,QELM,ETTm2,3,LegacyPersist,1600,-5.231905104298884,1.8995713312614816e-07,-0.3550187630550936,-0.142070815211162,0.06111862845434085
DLinear,QELM,ETTm2,4,NaiveKD,1600,-9.943422102677001,1.2050306666011825e-22,-1.2794259163835087,-0.7455839183768259,0.03320265043602078
DLinear,QELM,ETTm2,4,LegacyPersist,1600,-7.0791663862883265,2.163381277692462e-12,-0.42962423337390643,-0.20409880842128786,0.04932684676521224
DLinear,QELM,Energy,0,NaiveKD,1600,-8.345780797350123,1.510233672196034e-16,-342.44343452453614,-231.68193525362014,0.0618274833877671
DLinear,QELM,Energy,0,LegacyPersist,1600,-8.304282960686391,2.1128264963917415e-16,-347.30916310310363,-235.54015354394915,0.06147785938045388
DLinear,QELM,Energy,1,NaiveKD,1600,-3.5702575695386276,0.00036717730045334124,-397.883492076397,-47.69766086673738,0.013386223078020894
DLinear,QELM,Energy,1,LegacyPersist,1600,-3.5817021805123215,0.00035158117911913164,-398.7362724795342,-48.93467811679845,0.013410210522873306
DLinear,QELM,Energy,2,NaiveKD,1600,-0.3919715554030867,0.6951314652814887,-31.119817584037783,45.02655437421798,0.08131842073388848
DLinear,QELM,Energy,2,LegacyPersist,1600,0.26513352564768233,0.7909407757937436,-9.220122645378112,54.763666401386246,0.08468977636791637
DLinear,QELM,Energy,3,NaiveKD,1600,-5.279117943448825,1.476152404705509e-07,-275.0823321390152,-112.08785602617264,0.060369336808468274
DLinear,QELM,Energy,3,LegacyPersist,1600,-4.597757031172799,4.6065293310107925e-06,-208.15576476097107,-75.61598200941087,0.06551410887260035
DLinear,QELM,Energy,4,NaiveKD,1600,-4.989126987041966,6.72654860444518e-07,-525.6471046953202,-176.58580576658264,0.028739030134962238
DLinear,QELM,Energy,4,LegacyPersist,1600,-4.84947631950154,1.3582750689708221e-06,-500.17072080993654,-161.58751473999047,0.028912862558231684
DLinear,QELM,ExchangeRate,0,NaiveKD,607,-3.474327008920651,0.0005486901749549008,-0.001176641801504696,-0.00022028965611414325,0.07722188735034574
DLinear,QELM,ExchangeRate,0,LegacyPersist,607,-2.0706466222539417,0.038814697531134965,-0.00035819853144399423,5.272059699752908e-05,0.07407927144113098
DLinear,QELM,ExchangeRate,1,NaiveKD,607,-7.338069326002208,6.99545110057057e-13,-0.005362490538626225,-0.0027746894373922863,0.03283601185749135
DLinear,QELM,ExchangeRate,1,LegacyPersist,607,-4.70817468290185,3.100709700463603e-06,-0.0007980727160919483,-0.00034681427534370463,0.07023739447709962
DLinear,QELM,ExchangeRate,2,NaiveKD,607,-3.7315770537641177,0.00020818111540233105,-0.005336890088502069,-0.0025076450884750317,0.03638622199044615
DLinear,QELM,ExchangeRate,2,LegacyPersist,607,1.7092764318495057,0.08791172488586049,-5.638513604660029e-05,0.00025254616611084814,0.09073116122795165
DLinear,QELM,ExchangeRate,3,NaiveKD,607,-3.6300848260557523,0.0003072691311798911,-0.0017002859329154616,-0.0003305835805342748,0.042430396743940654
DLinear,QELM,ExchangeRate,3,LegacyPersist,607,-1.3895066977158295,0.16518901484994525,-0.000204380921403075,5.1960282973619584e-05,0.07554864600559724
DLinear,QELM,ExchangeRate,4,NaiveKD,607,-0.14140695857311542,0.8875954514892488,-0.0002404574046384764,0.00020739717379862917,0.0835058466761758
DLinear,QELM,ExchangeRate,4,LegacyPersist,607,2.707000087495005,0.006980820191249569,2.8378798248924475e-05,0.0002357283819914079,0.19245309043093353
DLinear,QELM,Jena,0,NaiveKD,1600,-7.556304498943315,6.942400527251742e-14,-1.3390286833920981,-0.5254091408543766,0.010264604398196986
DLinear,QELM,Jena,0,LegacyPersist,1600,-5.844886985040044,6.132025919422068e-09,-0.26560031132237055,-0.08251753333513633,0.015265912980057531
DLinear,QELM,Jena,1,NaiveKD,1600,-3.626999970746651,0.0002957349199274187,-0.447055990758352,-0.05651726263063028,0.017758251806718264
DLinear,QELM,Jena,1,LegacyPersist,1600,-1.1063227774213291,0.26875325023087443,-0.0843647821857594,0.0266094435746781,0.021831357620912113
DLinear,QELM,Jena,2,NaiveKD,1600,-7.03467402624598,2.9507271015210214e-12,-0.47943107604933904,-0.28654698042559906,0.03218357933203642
DLinear,QELM,Jena,2,LegacyPersist,1600,-6.337307131286816,3.0333600264126625e-10,-0.20484814631508197,-0.11634607905475423,0.03906557994920701
